filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
bbx,-8,61.85241365002881,67.23601322915731,65.91151952188771,68.08353481836365,66.73923434763046,67.7095434901075,68.49372484208351,66.81655889955904,68.48314094912108,67.48114681848776,65.68298183913797,61.85241365002881,58.95377095080962,57.99015640142982,59.41211379287471,57.34043623205378,58.82363908088064,58.12079145640825,58.41363132585976,59.65871513493117,60.13841205244219,58.36024988747965,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bby,-8,62.41932733608097,66.06343957826051,68.66816418360374,67.14123780311513,66.91312646997265,64.90957906423675,67.0903211337716,66.9504409192203,65.9334643251379,67.47621151284865,66.1750418598299,62.41932733608097,58.64694452046391,60.00581279883678,59.782292649225276,57.376942034081274,58.31181471387839,58.76683948259971,57.5774172922636,59.36721394398849,60.451041881532866,60.233036907270744,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbz,-8,63.23040385958245,67.50318269862112,67.03436676853691,67.77123163896135,66.5422986660608,67.22825622370127,65.63332543702336,67.72262253866295,66.51089781778194,65.75714246397834,67.65037583043025,63.23040385958245,58.89687102558698,59.34064636061969,59.227316100177816,58.7194964603258,59.038757254124185,60.89295452366315,61.16618535820783,60.05675886938995,60.80307493052773,59.06922354805086,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bca,-8,64.20242957239387,67.06972872951762,66.95275168311413,67.62332420038767,66.6688650836358,66.36331235472863,66.26769449597434,66.69864594279564,66.19187106854923,68.07338655916628,67.24122332508723,64.20242957239387,59.11559487423478,58.045327089697395,58.997396130837025,57.749541824014756,58.331622028404674,59.2148350195971,60.470311760154345,58.78217542183618,56.545555660247125,57.9144551330263,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bcb,-8,63.64303136068985,67.00397702492207,65.42532450217652,66.70453023065102,66.4333492212346,67.2170097262969,66.55827456437152,67.7831789606167,66.40099585341042,68.48054974013861,66.89618048831035,63.64303136068985,59.62452021518617,57.660576391500044,59.3966518654643,59.63944079119629,59.139836777028705,60.45329149443,56.89294568993598,58.60961379761915,60.765849868062794,58.0703280255489,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bcc,-8,63.780361784687265,66.6791759915179,66.42744035941065,66.99297152791294,67.18536020407049,65.2073613355327,65.3025479496938,67.4072758558166,67.82536035219051,64.73648779895758,66.29099732582007,63.780361784687265,56.96827690314739,58.80206565778604,60.095036996062575,58.910710194620755,58.23875114463014,60.173764084646166,57.02667952282194,60.14348894755131,58.72268950725262,60.55097514402958,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bcd,-8,62.63095115492375,66.413563070868,68.59647098427084,65.2846822096522,66.92183690608384,67.97252789874774,66.44668128252495,67.57512422341279,66.02545797594534,66.33582212414345,65.97893421689885,62.63095115492375,59.57726530881912,58.830984660122226,58.58649614886924,59.864433390466644,59.66811009752837,58.90027295521272,58.51834902895298,59.02237979746411,56.97812162810673,59.343176018355344,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bce,-8,62.53691987575164,65.89162333386699,67.63252351750066,66.63752093662785,65.03828063137519,68.49719177974448,67.31656420970646,67.03758269980821,69.0833313955757,68.10880280706594,67.95724713621205,62.53691987575164,58.79535111131784,60.37920668771066,58.94505363740623,58.00968674770429,58.823922106447604,58.95267148638378,58.9644632097079,59.95078445438054,58.297655502731715,57.56362860526385,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bcf,-8,61.99524119792059,68.84955374532362,67.51043175775703,67.43852267242987,67.25247630474605,67.5882458429291,67.39426757277644,65.25168962404717,67.55474781552998,67.0823728622801,68.68288148362062,61.99524119792059,59.110643884003814,59.910441458195244,57.92963881174828,59.412999580943854,59.51061429838489,57.88884001724927,58.516161209210914,57.791150634132336,59.357947102122196,58.03430345501369,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bcg,-8,64.55275650339206,67.81959824686999,68.00242012833979,65.89470608473675,66.98568692687427,66.07088856749176,66.24991423155794,66.47350937496043,68.93771988710554,68.51789586935682,66.50677731804058,64.55275650339206,59.2759800000605,58.179463465138795,60.26552739336294,59.97677531889621,57.95661329094276,57.03811336569776,61.798189888450686,58.96153770414421,59.00698224997832,58.832738423105816,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
