filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,save
bcb,-8,65.74364819481295,68.59982407554497,66.55508991588516,67.11318538463739,66.86814394759824,67.05821625723274,66.14507843269435,66.53755591808424,67.43989556640429,67.28852110095492,58.345369650072726,59.1636708391447,60.53795098217207,59.57321332566235,60.88801859295892,57.09754699859735,59.754071095712796,57.73556223387348,58.60851909459463,59.539701349851576,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bcc,-8,66.95783557294953,67.68293911522522,67.93236633000339,67.66184816639459,67.00860530292952,68.17206538147833,66.41015961564592,69.33247166745394,67.80361800000253,66.34090883102881,59.08478094500103,59.0154741681174,59.387426238180794,60.5066391892923,58.685806207444315,57.46745341950957,58.43307830998003,58.9272678986344,57.75369929672282,57.79554592646138,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bcd,-8,65.61912502520892,65.93301843044985,65.95871995476547,66.82364420250869,66.86596040836574,66.21049977810705,66.36086171912444,65.38434501962521,63.557424364294015,68.16286405223838,59.43180473004513,59.54150204066236,59.17858165228023,59.823852786043496,60.184685140077114,59.930749214089374,58.71983039982297,61.38126561987925,59.21388445061333,57.27214299096565,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bce,-8,66.74510877188634,68.3959079031722,68.17642699577135,67.51259762769578,67.05781834903419,67.81813926028545,67.57658325860159,67.22242296902336,68.62781176132393,66.76447167724798,57.41966697878111,59.25851998924495,59.61647716700844,59.95976088712141,59.25991319010429,59.761449042890845,60.736336832796056,57.94155262144774,58.25630282378928,59.69831180494823,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bcf,-8,66.081715379534,68.09618483798548,68.71158148391201,68.47964822939323,66.26719089583823,68.65436132420975,67.69179836439812,66.20706962418171,66.82314574632468,66.91548733206278,57.41583532911149,57.66029643638256,59.40371046199753,59.2472305666358,58.459718530453436,59.943694449948836,61.0698528086051,59.366405554602274,62.161715457410615,59.559741959890175,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bcg,-8,66.52903622758552,68.02939149255761,66.60311805395483,68.75528047041486,67.85712042481006,68.17379795243443,66.87503190065556,67.14706549467066,66.55753044792992,68.0457003551868,58.356221066512674,59.195649285287764,57.62865908639126,59.10016590612096,58.061863468313526,61.01809845012368,59.55820701561127,57.80796423722957,59.24813892377776,59.7447221973575,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bch,-8,64.90863467320601,66.18091111931767,65.72871410224072,68.05798661790128,66.40991144543699,66.92646705215198,67.9005456448068,67.94600634751835,67.61578464897916,66.6998687112769,58.74829363885757,58.11982785056479,60.5530923539839,59.69636478943421,59.52994275924207,58.95458508880116,61.047353268037355,59.834726903541075,59.86921367300615,58.362239529829125,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bci,-8,69.04299833256226,66.95094990066771,66.48100928949538,65.77892536271345,67.16137405957552,66.7213781014678,66.50196519864376,66.69595807053192,67.51537243449579,66.42668982084335,59.42994348641314,59.42272010174065,59.62308051692125,58.81302544587895,60.52407808696701,59.8763369446433,59.09526169770016,58.662078926581174,58.44513451422023,60.24883474593308,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bcj,-8,67.49107875977215,67.21376064681358,67.05136188189445,67.56512665570497,66.21786094929456,64.75767878930898,67.02921505234276,66.51805326561139,65.45201611993232,65.08109636145883,58.46977735912366,59.54712559256508,60.61566870212793,59.21163369415561,58.68175135087559,60.312149621729695,58.51024930284627,58.01271960816547,59.05803491398773,57.68269325955559,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bck,-8,66.6918848680443,67.12169901323544,67.83125418837066,67.7530994363523,68.06259906276277,66.58177292403374,66.15458085973894,67.40296936935613,66.75297516476594,68.17451626998276,60.84172496532058,58.76730422195878,58.692302908031174,58.32415850390596,59.37161885536927,58.617725762109536,59.4594818919473,59.151696198732466,59.41570046896633,59.05506321186574,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
